nx;ny;nz;x;y;z;Bx;By;Bz;Jx;Jy;Jz;rhoD;temperatureD;pressureD 
75;50;61;0.5100000000;0.0100000000;2.4400000000;0.0109257614;0.5563310534;2.0481175896;0.0251558230;-0.1694020881;0.2783101660;2774886.8496613321;611.6258679763;1137119027.2332559014;
75;50;62;0.5100000000;0.0100000000;2.4800000000;0.0096849282;0.5561922105;2.0451693215;0.0239126053;-0.1694193207;0.2778841008;2609689.6699225482;650.3425991180;1137118883.0952971339;
75;50;63;0.5100000000;0.0100000000;2.5200000000;0.0085297692;0.5560615156;2.0423798210;0.0227552029;-0.1694356027;0.2774783560;2456492.6843978367;690.9005555728;1137118747.4753301234;
75;50;64;0.5100000000;0.0100000000;2.5600000000;0.0074533964;0.5559384538;2.0397388392;0.0216767188;-0.1694509875;0.2770964889;2314268.8762485921;733.3598905509;1137118619.7600427255;
75;50;65;0.5100000000;0.0100000000;2.6000000000;0.0064495520;0.5558223893;2.0372368876;0.0206708836;-0.1694655259;0.2767364178;2182096.4783861848;777.7803625732;1137118499.3864256206;
75;50;66;0.5100000000;0.0100000000;2.6400000000;0.0055125367;0.5557129817;2.0348651754;0.0197319925;-0.1694792664;0.2763916557;2059148.7841356536;824.2200047575;1137118385.8399797535;
75;50;67;0.5100000000;0.0100000000;2.6800000000;0.0046371664;0.5556095480;2.0326155524;0.0188548488;-0.1694922550;0.2760670689;1944670.7666759690;872.7397407054;1137118278.6463186797;
75;50;68;0.5100000000;0.0100000000;2.7200000000;0.0038187044;0.5555119177;2.0304804565;0.0180347133;-0.1695045352;0.2757566549;1837971.9017230663;923.4043827978;1137118177.3718819091;
75;50;69;0.5100000000;0.0100000000;2.7600000000;0.0030528339;0.5554195828;2.0284528660;0.0172672600;-0.1695161482;0.2754653308;1738437.3995446293;976.2739613380;1137118081.6163068948;
75;50;70;0.5100000000;0.0100000000;2.8000000000;0.0023356066;0.5553322438;2.0265262571;0.0165485355;-0.1695271330;0.2751847549;1645493.1804921543;1031.4178457145;1137117991.0119386484;
75;50;71;0.5100000000;0.0100000000;2.8400000000;0.0016634126;0.5552495460;2.0246945634;0.0158749238;-0.1695375264;0.2749231411;1558634.7657082118;1088.8958341322;1137117905.2199556999;
75;50;72;0.5100000000;0.0100000000;2.8800000000;0.0010329468;0.5551711496;2.0229521405;0.0152431137;-0.1695473629;0.2746706534;1477394.7811045882;1148.7726934512;1137117823.9267831523;
75;50;73;0.5100000000;0.0100000000;2.9200000000;0.0004411779;0.5550968516;2.0212937326;0.0146500706;-0.1695566751;0.2744299385;1401339.7764864104;1211.1200262839;1137117746.8437017894;
75;50;74;0.5100000000;0.0100000000;2.9600000000;-0.0001146725;0.5550263433;2.0197144429;0.0140930105;-0.1695654936;0.2742012709;1330076.7315956505;1276.0095094142;1137117673.7036024724;
75;50;75;0.5100000000;0.0100000000;3.0000000000;-0.0006371570;0.5549593918;2.0182097054;0.0135693771;-0.1695738474;0.2739858712;1263262.3099353841;1343.4980532318;1137117604.2598977233;
75;50;76;0.5100000000;0.0100000000;3.0400000000;-0.0011286225;0.5548958466;2.0167752601;0.0130768208;-0.1695817635;0.2737796455;1200569.8826270118;1413.6539490159;1137117538.2822838399;
75;50;77;0.5100000000;0.0100000000;3.0800000000;-0.0015912256;0.5548354300;2.0154071299;0.0126131802;-0.1695892673;0.2735810230;1141688.6085616523;1486.5614400470;1137117475.5591879527;
75;50;78;0.5100000000;0.0100000000;3.1200000000;-0.0020269533;0.5547779660;2.0141015991;0.0121764653;-0.1695963829;0.2733933692;1086348.1774427021;1562.2893361600;1137117415.8936285042;
75;50;79;0.5100000000;0.0100000000;3.1600000000;-0.0024376361;0.5547232653;2.0128551942;0.0117648423;-0.1696031325;0.2732126985;1034303.2442939679;1640.9018318143;1137117359.1030097452;
75;50;80;0.5100000000;0.0100000000;3.2000000000;-0.0028249638;0.5546712185;2.0116646661;0.0113766197;-0.1696095373;0.2730415756;985322.7885065600;1722.4710798173;1137117305.0166509801;
75;50;81;0.5100000000;0.0100000000;3.2400000000;-0.0031904927;0.5546215529;2.0105269737;0.0110102362;-0.1696156171;0.2728765375;939188.6300387253;1807.0810019200;1137117253.4767219208;
75;50;82;0.5100000000;0.0100000000;3.2800000000;-0.0035356654;0.5545742638;2.0094392686;0.0106642494;-0.1696213905;0.2727205359;895708.4866141500;1894.8015817438;1137117204.3359306210;
75;50;83;0.5100000000;0.0100000000;3.3200000000;-0.0038618133;0.5545292181;2.0083988816;0.0103373258;-0.1696268748;0.2725717720;854695.3910532922;1985.7247447629;1137117157.4570592634;
