nx;ny;nz;x;y;z;Bx;By;Bz;Jx;Jy;Jz;rhoD;temperatureD;pressureD 
75;50;66;0.51;0.0100001;2.64;0.00551441;0.555713;2.03489;0.0197289;-0.169224;0.276395;2.96043e+06;573.293;1.13712e+09;
75;50;67;0.51;0.0100001;2.68;0.00464025;0.55561;2.03263;0.0188638;-0.169789;0.276067;167747;10118.2;1.13712e+09;
75;50;68;0.51;0.0100001;2.72;0.00382464;0.555512;2.03051;0.0180678;-0.170886;0.275759;283237;5992.12;1.13712e+09;
75;50;69;0.51;0.0100001;2.76;0.00304395;0.55542;2.02846;0.0172687;-0.170042;0.275467;2.51717e+06;674.245;1.13712e+09;
75;50;70;0.51;0.0100001;2.8;0.00233752;0.555332;2.02653;0.0165394;-0.168959;0.275184;3.96937e+06;427.572;1.13712e+09;
75;50;71;0.51;0.0100001;2.84;0.00165828;0.555249;2.02471;0.0158874;-0.170431;0.274922;2.1538e+06;787.997;1.13712e+09;
75;50;72;0.51;0.0100001;2.88;0.00102775;0.555171;2.02296;0.0152174;-0.168497;0.27467;-805274;-2107.59;1.13712e+09;
75;50;73;0.51;0.0100001;2.92;0.000445231;0.555097;2.02131;0.0146696;-0.170344;0.274432;3.09385e+06;548.548;1.13712e+09;
75;50;74;0.51;0.0100001;2.96;-0.00012642;0.555026;2.01976;0.0140769;-0.169341;0.27421;531879;3190.93;1.13712e+09;
75;50;75;0.51;0.0100001;3;-0.000622146;0.55496;2.01822;0.0135668;-0.168671;0.273984;-1.82058e+06;-932.223;1.13712e+09;
75;50;76;0.51;0.0100001;3.04;-0.00111909;0.554896;2.01678;0.0131223;-0.171412;0.273778;3.60882e+06;470.289;1.13712e+09;
75;50;77;0.51;0.0100001;3.08;-0.00159534;0.554835;2.01542;0.0126089;-0.169575;0.273582;4.85301e+06;349.719;1.13712e+09;
75;50;78;0.51;0.0100001;3.12;-0.00202816;0.554778;2.01411;0.0121977;-0.17074;0.273394;3.81609e+06;444.746;1.13712e+09;
75;50;79;0.51;0.0100001;3.16;-0.00243977;0.554723;2.01287;0.0117547;-0.169192;0.273214;-199783;-8495.18;1.13712e+09;
75;50;80;0.51;0.0100001;3.2;-0.00282726;0.554671;2.01171;0.0113968;-0.170753;0.273046;-1.90701e+06;-890.015;1.13712e+09;
75;50;81;0.51;0.0100001;3.24;-0.00319572;0.554622;2.01055;0.0110044;-0.169583;0.27288;769578;2205.35;1.13712e+09;
75;50;82;0.51;0.0100001;3.28;-0.00353885;0.554574;2.00946;0.0106598;-0.169552;0.27272;-474492;-3576.86;1.13712e+09;
75;50;83;0.51;0.0100001;3.32;-0.00386704;0.554529;2.00841;0.0103153;-0.168765;0.27257;-1.8923e+06;-896.894;1.13712e+09;
75;50;84;0.51;0.0100001;3.36;-0.00414989;0.554487;2.0074;0.0100461;-0.169504;0.272428;4.59806e+06;369.11;1.13712e+09;
75;50;85;0.51;0.0100001;3.4;-0.00444804;0.554445;2.00646;0.00980312;-0.172361;0.272291;1.1498e+06;1476.08;1.13712e+09;
75;50;86;0.51;0.0100001;3.44;-0.00474264;0.554406;2.00557;0.00947752;-0.170819;0.272162;-2.54694e+06;-666.368;1.13712e+09;
75;50;87;0.51;0.0100001;3.48;-0.00500289;0.554368;2.00469;0.00920773;-0.17037;0.272034;727541;2332.78;1.13712e+09;
75;50;88;0.51;0.0100001;3.52;-0.00525181;0.554332;2.00386;0.00895729;-0.170328;0.271914;2.59927e+06;652.949;1.13712e+09;
